Rank,Mark,WIND,Competitor,DOB,Nat,Pos,,Venue,Date,Results Score
1,9.58,+0.9,Usain BOLT,21 AUG 1986,JAM,1,,"Olympiastadion, Berlin (GER)",16 AUG 2009,1356
2,9.69,+2.0,Tyson GAY,09 AUG 1982,USA,1,,Shanghai (CHN),20 SEP 2009,1316
2,9.69,-0.1,Yohan BLAKE,26 DEC 1989,JAM,1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",23 AUG 2012,1316
4,9.72,+0.2,Asafa POWELL,23 NOV 1982,JAM,1f1,,"Stade Olympique de la Pontaise, Lausanne (SUI)",02 SEP 2008,1305
5,9.74,+0.9,Justin GATLIN,10 FEB 1982,USA,1,,"Suhaim bin Hamad Stadium, Doha (QAT)",15 MAY 2015,1298
6,9.76,+0.6,Christian COLEMAN,06 MAR 1996,USA,1,,"Khalifa International Stadium, Doha (QAT)",28 SEP 2019,1291
6,9.76,+1.2,Trayvon BROMELL,10 JUL 1995,USA,1,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1291
6,9.76,+1.4,Fred KERLEY,07 MAY 1995,USA,1sf1,,"Hayward Field, Eugene, OR (USA)",24 JUN 2022,1291
9,9.77,+1.2,Ferdinand OMANYALA,02 JAN 1996,KEN,2,,"Moi International Sports Centre, Kasarani, Nairobi (KEN)",18 SEP 2021,1287
10,9.78,+0.9,Nesta CARTER,11 OCT 1985,JAM,1,,"Stadio Guidobaldi, Rieti (ITA)",29 AUG 2010,1283
11,9.79,+0.1,Maurice GREENE,23 JUL 1974,USA,1f3,,Athina (GRE),16 JUN 1999,1280
12,9.80,+1.3,Steve MULLINGS,29 NOV 1982,JAM,1,,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1276
12,9.80,+0.1,Lamont Marcell JACOBS,26 SEP 1994,ITA,1,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1276
14,9.82,+1.7,Richard THOMPSON,07 JUN 1985,TTO,1f2,,Port-of-Spain (TTO),21 JUN 2014,1269
14,9.82,+0.9,Oblique SEVILLE,16 MAR 2001,JAM,1,,"National Stadium, Kingston (JAM)",01 JUN 2024,1269
16,9.83,+0.9,Bingtian SU,29 AUG 1989,CHN,1sf3,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1266
16,9.83,+0.9,Ronnie BAKER,15 OCT 1993,USA,2sf3,,"National Stadium, Tokyo (JPN)",01 AUG 2021,1266
16,9.83,+1.3,Zharnel HUGHES,13 JUL 1995,GBR,1,,"Icahn Stadium, New York, NY (USA)",24 JUN 2023,1266
16,9.83,0.0,Noah LYLES,18 JUL 1997,USA,1,,"Nemzeti Atlétikai Központ, Budapest (HUN)",20 AUG 2023,1266
20,9.84,+0.7,Donovan BAILEY,16 DEC 1967,CAN,1,,"Olympic Stadium, Atlanta, GA (USA)",27 JUL 1996,1262
20,9.84,+0.2,Bruny SURIN,12 JUL 1967,CAN,2,,"La Cartuja, Sevilla (ESP)",22 AUG 1999,1262
20,9.84,+1.2,Akani SIMBINE,21 SEP 1993,RSA,1,,"Bregyó Athletic Center, Székesfehérvár (HUN)",06 JUL 2021,1262
23,9.85,+1.2,Leroy BURRELL,21 FEB 1967,USA,1f3,,"Stade Olympique de la Pontaise, Lausanne (SUI)",06 JUL 1994,1259
23,9.85,+1.7,Olusoji Adetokunbo FASUBA,09 JUL 1984,NGR,1,,Doha (QAT),12 MAY 2006,1259
23,9.85,+1.3,Michael RODGERS,24 APR 1985,USA,2,,"Hayward Field, Eugene, OR (USA)",04 JUN 2011,1259
23,9.85,+1.5,Marvin BRACY,15 DEC 1993,USA,2f2,,"Ansin Sports Complex, Miramar, FL (USA)",05 JUN 2021,1259
23,9.85,+0.4,Kishane THOMPSON,17 JUL 2001,JAM,2,,"Egret Stadium, Xiamen (CHN)",02 SEP 2023,1259
28,9.86,+1.2,Carl LEWIS,01 JUL 1961,USA,1,,"National Stadium, Tokyo (JPN)",25 AUG 1991,1255
28,9.86,-0.4,Frank FREDERICKS,02 OCT 1967,NAM,1f1,,Lausanne (SUI),03 JUL 1996,1257
28,9.86,+1.8,Ato BOLDON,30 DEC 1973,TTO,1,,"Walnut, CA (USA)",19 APR 1998,1255
28,9.86,+0.6,Francis OBIKWELU,22 NOV 1978,POR,2,,"Olympic Stadium, Athina (GRE)",22 AUG 2004,1255
28,9.86,+1.4,Keston BLEDMAN,08 MAR 1988,TTO,1f2,,Port-of-Spain (TTO),23 JUN 2012,1255
28,9.86,+1.3,Jimmy VICAUT,27 FEB 1992,FRA,2,,"Stade de France, Paris-St-Denis (FRA)",04 JUL 2015,1255
28,9.86,+0.8,Divine ODUDURU,07 OCT 1996,NGR,1,,"Austin, TX (USA)",07 JUN 2019,1255
28,9.86,+1.6,Michael NORMAN,03 DEC 1997,USA,1f3,,"AP Ranch, Fort Worth, TX (USA)",20 JUL 2020,1255
28,9.86,+0.7,Micah WILLIAMS,12 NOV 2001,USA,1h2,,"John McDonnell Field, Fayetteville, AR (USA)",27 MAY 2022,1255
37,9.87,+0.3,Linford CHRISTIE,02 APR 1960,GBR,1,,"Gottlieb-Daimler Stadion, Stuttgart (GER)",15 AUG 1993,1252
37,9.87,-0.2,Obadele THOMPSON,30 MAR 1976,BAR,1,,"SGJ, Johannesburg (RSA)",11 SEP 1998,1253
39,9.88,+1.8,Shawn CRAWFORD,14 JAN 1978,USA,1,,"Eugene, OR (USA)",19 JUN 2004,1248
39,9.88,+1.0,Walter DIX,31 JAN 1986,USA,2f2,,Luzern (SUI),08 AUG 2010,1248
