Place,Competitor,DOB,Nat,Score,Event List,Profile_URL
1,Yomif KEJELCHA,01 AUG 1997,ETH,1457,5000m [3000m],https://worldathletics.org/athletes/ethiopia/yomif-kejelcha-14594967
2,Hagos GEBRHIWET,11 MAY 1994,ETH,1441,5000m [5 km Road],https://worldathletics.org/athletes/ethiopia/hagos-gebrhiwet-14477352
3,Berihu AREGAWI,28 FEB 2001,ETH,1421,5000m [3000m],https://worldathletics.org/athletes/ethiopia/berihu-aregawi-14848753
4,Telahun Haile BEKELE,13 MAY 1999,ETH,1409,5000m [3000m],https://worldathletics.org/athletes/ethiopia/telahun-haile-bekele-14797485
5,Jakob INGEBRIGTSEN,19 SEP 2000,NOR,1405,5000m [3000m],https://worldathletics.org/athletes/norway/jakob-ingebrigtsen-14653717
6,Jacob KIPLIMO,14 NOV 2000,UGA,1403,5000m,https://worldathletics.org/athletes/uganda/jacob-kiplimo-14735365
7,Selemon BAREGA,20 JAN 2000,ETH,1396,5000m [3000m sh],https://worldathletics.org/athletes/ethiopia/selemon-barega-14751317
8,Grant FISHER,22 APR 1997,USA,1364,5000m [3000m],https://worldathletics.org/athletes/united-states/grant-fisher-14591210
9,Luis GRIJALVA,10 APR 1999,GUA,1361,5000m [3000m],https://worldathletics.org/athletes/guatemala/luis-grijalva-14749285
10,Joshua CHEPTEGEI,12 SEP 1996,UGA,1350,5000m,https://worldathletics.org/athletes/uganda/joshua-cheptegei-14645612
11,Dominic Lokinyomo LOBALU,16 AUG 1998,SUI,1334,5000m [3000m],https://worldathletics.org/athletes/switzerland/dominic-lokinyomo-lobalu-14792211
12,Biniam MEHARY,20 DEC 2006,ETH,1333,5000m [3000m sh],https://worldathletics.org/athletes/ethiopia/biniam-mehary-15118094
13,Thierry NDIKUMWENAYO,26 MAR 1997,ESP,1331,5000m,https://worldathletics.org/athletes/spain/thierry-ndikumwenayo-14661449
14,Nicholas KIPKORIR,29 SEP 1998,KEN,1326,5000m [5 km Road],https://worldathletics.org/athletes/kenya/nicholas-kipkorir-14708978
15,Jacob KROP,04 JUN 2001,KEN,1315,5000m,https://worldathletics.org/athletes/kenya/jacob-krop-14808798
16,Birhanu BALEW,27 FEB 1996,BRN,1299,5000m,https://worldathletics.org/athletes/bahrain/birhanu-balew-14695983
17,Samuel TEFERA,23 OCT 1999,ETH,1297,5000m [3000m sh],https://worldathletics.org/athletes/ethiopia/samuel-tefera-14797484
18,Andreas ALMGREN,12 JUN 1995,SWE,1295,5000m [3000m],https://worldathletics.org/athletes/sweden/andreas-almgren-14460738
19,Kuma GIRMA,24 NOV 2005,ETH,1292,5000m,https://worldathletics.org/athletes/ethiopia/kuma-girma-14975226
20,Addisu YIHUNE,17 MAR 2003,ETH,1290,5000m [5 km Road],https://worldathletics.org/athletes/ethiopia/addisu-yihune-14977660
21,Mohammed AHMED,05 JAN 1991,CAN,1287,5000m,https://worldathletics.org/athletes/canada/mohammed-ahmed-14330105
22,Jimmy GRESSIER,04 MAY 1997,FRA,1268,5000m,https://worldathletics.org/athletes/france/jimmy-gressier-14694062
23,Cornelius KEMBOI,29 FEB 2000,KEN,1266,5000m,https://worldathletics.org/athletes/kenya/cornelius-kemboi-14894347
24,Narve Gilje NORDÅS,30 SEP 1998,NOR,1262,5000m [3000m],https://worldathletics.org/athletes/norway/narve-gilje-nordas-14705412
25,Mohamed ISMAIL,01 JAN 1997,DJI,1260,5000m [3000m],https://worldathletics.org/athletes/djibouti/mohamed-ismail-14661612
26,Stewart MCSWEYN,01 JUN 1995,AUS,1257,5000m [3000m],https://worldathletics.org/athletes/australia/stewart-mcsweyn-14500488
27,Cole HOCKER,06 JUN 2001,USA,1255,5000m [2 Miles sh],https://worldathletics.org/athletes/united-states/cole-hocker-14905834
28,Adriaan WILDSCHUTT,03 MAY 1998,RSA,1249,5000m [3000m],https://worldathletics.org/athletes/south-africa/adriaan-wildschutt-14741268
29,Brian FAY,09 NOV 1998,IRL,1248,5000m [3000m sh],https://worldathletics.org/athletes/ireland/brian-fay-14781522
30,Morgan MCDONALD,23 APR 1996,AUS,1247,5000m [2 Miles sh],https://worldathletics.org/athletes/australia/morgan-mcdonald-14496066
31,Joe KLECKER,16 NOV 1996,USA,1246,5000m [5000m sh],https://worldathletics.org/athletes/united-states/joe-klecker-14576389
32,Ishmael Rokitto KIPKURUI,10 FEB 2005,KEN,1241,5000m [2 Miles],https://worldathletics.org/athletes/kenya/ishmael-rokitto-kipkurui-14935332
